Date,Player_Name,Team,Opponent,Runs,Balls_Faced,Fours,Sixes,Wickets,Economy_Rate,Match_Result,Match_Type,Player_Impact_Score,Strike_Rate,Catches,Target_Score
2025-04-01,Babar Azam,Sri Lanka,Australia,162,53,26,15,2,7.3,Loss,T20,203.4,305.66,1,219
2020-09-05,Steve Smith,England,Bangladesh,28,138,7,3,5,3.16,Win,ODI,130.68,20.29,3,397
2023-09-14,Kane Williamson,England,South Africa,100,37,1,13,3,7.92,Win,ODI,135.16,270.27,1,170
2024-07-30,Jos Buttler,New Zealand,Australia,31,149,4,1,1,9.51,Tie,ODI,27.48,20.81,3,355
2025-05-24,Joe Root,England,India,29,84,0,1,4,5.35,Win,ODI,86.8,34.52,0,202
2023-04-13,Jos Buttler,South Africa,England,155,18,10,14,0,9.55,Loss,T20,120.4,861.11,0,324
2022-06-18,Virat Kohli,Bangladesh,Pakistan,20,19,1,2,5,3.95,Loss,Test,110.1,105.26,3,268
2022-11-08,Rohit Sharma,Bangladesh,India,19,77,1,2,5,3.61,Loss,Test,110.28,24.68,4,166
2024-10-20,Virat Kohli,South Africa,Bangladesh,67,28,6,2,3,4.23,Loss,ODI,103.04,239.29,1,318
2023-04-24,Rohit Sharma,Bangladesh,England,67,47,9,11,3,9.71,Tie,T20,125.08,142.55,4,140
2022-08-14,Steve Smith,Bangladesh,South Africa,137,67,12,19,3,5.64,Tie,Test,198.22,204.48,3,304
2021-01-25,Kane Williamson,Sri Lanka,India,190,105,26,28,2,7.19,Win,ODI,256.62,180.95,3,175
2022-05-14,Jos Buttler,Australia,South Africa,63,124,13,6,4,9.25,Loss,Test,137,50.81,4,385
2023-12-31,David Warner,India,Pakistan,182,37,40,1,3,4.87,Loss,Test,224.26,491.89,0,260
2021-06-17,Steve Smith,Australia,Bangladesh,74,46,7,3,0,6.77,Tie,ODI,46.46,160.87,2,212
2025-05-23,Joe Root,Bangladesh,England,34,117,4,3,0,7.42,Loss,Test,19.16,29.06,4,395
2023-04-24,Babar Azam,Bangladesh,New Zealand,86,113,5,4,0,4.5,Win,ODI,56,76.11,3,162
2024-11-07,Kane Williamson,New Zealand,Australia,45,73,8,2,0,9.2,Win,T20,26.1,61.64,4,192
2023-06-06,Virat Kohli,New Zealand,Australia,147,39,2,20,1,8.07,Loss,Test,141.36,376.92,2,254
2022-09-09,Babar Azam,England,Sri Lanka,23,31,5,3,2,3.57,Loss,ODI,63.36,74.19,3,120
2025-03-16,Rohit Sharma,Bangladesh,Pakistan,136,29,21,16,1,3.83,Tie,Test,170.34,468.97,2,268
2020-12-19,Steve Smith,India,Pakistan,127,90,6,10,2,7.69,Win,ODI,130.12,141.11,2,139
2023-10-05,Babar Azam,Pakistan,Sri Lanka,120,54,11,10,2,7.74,Win,T20,136.52,222.22,1,146
2024-02-26,Jos Buttler,England,Pakistan,190,5,23,11,5,6.3,Loss,ODI,261.4,3800,2,123
2024-01-07,Jos Buttler,England,New Zealand,128,57,14,2,0,7.2,Tie,ODI,83.6,224.56,1,133
2022-02-13,Virat Kohli,England,Sri Lanka,41,120,8,1,5,5.81,Win,T20,127.88,34.17,3,158
2025-06-07,Steve Smith,Sri Lanka,Bangladesh,182,62,30,5,5,5.31,Win,ODI,255.38,293.55,1,286
2023-06-12,Kane Williamson,South Africa,India,114,37,4,5,2,9.6,Loss,T20,100.8,308.11,3,357
2022-10-20,Babar Azam,England,Pakistan,17,149,3,0,2,7.26,Tie,T20,39.98,11.41,2,300
2025-04-16,Babar Azam,India,Australia,44,107,9,6,2,6.06,Tie,ODI,85.88,41.12,1,216
2021-06-27,David Warner,New Zealand,Bangladesh,22,5,2,2,5,6.65,Win,Test,107.7,440,0,376
2023-06-08,Rohit Sharma,Pakistan,South Africa,49,86,8,5,3,4.91,Win,ODI,105.68,56.98,2,209
2024-01-11,Joe Root,India,Australia,57,73,6,9,4,8,Loss,T20,131.5,78.08,0,322
2023-11-09,David Warner,Bangladesh,South Africa,168,144,14,17,1,5.43,Loss,ODI,172.14,116.67,4,386
2024-05-05,David Warner,England,New Zealand,9,57,0,0,0,7.96,Win,T20,-11.42,15.79,1,368
2023-09-06,David Warner,New Zealand,South Africa,171,22,12,25,4,4.65,Loss,T20,255.2,777.27,3,319
2020-08-19,Rohit Sharma,Bangladesh,Sri Lanka,85,2,11,0,3,3.89,Loss,ODI,116.72,4250,3,308
2021-08-22,Virat Kohli,Bangladesh,India,50,116,11,7,1,4.14,Win,ODI,79.72,43.1,3,155
2020-09-16,Virat Kohli,South Africa,Australia,12,126,3,0,4,8.01,Tie,T20,75.98,9.52,4,191
2021-06-09,Rohit Sharma,India,England,184,27,33,15,5,5.36,Tie,T20,292.28,681.48,2,147
2021-01-09,Joe Root,Australia,Sri Lanka,97,18,5,3,0,8,Tie,Test,51.5,538.89,2,168
2021-04-25,Steve Smith,Bangladesh,England,12,105,2,0,4,7.74,Win,Test,74.52,11.43,4,312
2020-04-10,Virat Kohli,England,India,156,33,29,26,2,9.38,Loss,Test,235.24,472.73,4,120
2022-09-04,Kane Williamson,Australia,New Zealand,53,147,2,6,5,3.78,Loss,T20,140.94,36.05,1,389
2020-06-13,Kane Williamson,England,Pakistan,145,149,28,5,1,6.02,Win,T20,151.46,97.32,0,302
2024-02-16,Steve Smith,Bangladesh,Sri Lanka,24,60,5,1,4,7.5,Tie,T20,90,40,4,297
2023-04-26,Babar Azam,Australia,Pakistan,67,37,11,0,4,7.51,Tie,ODI,120.48,181.08,3,236
2021-10-05,Kane Williamson,Pakistan,England,103,81,5,15,4,3.8,Win,T20,178.9,127.16,2,196
2022-02-24,Steve Smith,Sri Lanka,England,139,5,30,0,0,6.5,Win,ODI,116.5,2780,2,153
2022-09-26,Virat Kohli,Sri Lanka,New Zealand,69,61,12,9,5,5.61,Win,T20,174.28,113.11,2,143
2023-02-17,Steve Smith,Pakistan,Australia,113,73,18,13,1,4.03,Loss,ODI,143.44,154.79,0,266
2023-08-16,Rohit Sharma,New Zealand,India,150,39,12,11,5,7.35,Tie,T20,217.3,384.62,4,188
2024-03-20,Jos Buttler,India,England,74,36,4,8,1,5.22,Tie,T20,78.56,205.56,0,258
2022-03-17,Steve Smith,South Africa,Pakistan,11,16,2,0,2,6.06,Tie,ODI,37.38,68.75,2,192
2020-06-20,Kane Williamson,England,Bangladesh,2,77,0,0,3,7.61,Loss,ODI,45.78,2.6,3,205
2024-11-24,Joe Root,New Zealand,Bangladesh,52,88,5,1,0,4.64,Win,ODI,29.72,59.09,0,140
2022-10-03,Kane Williamson,South Africa,Pakistan,28,110,4,0,1,7.58,Win,Test,26.84,25.45,1,273
2025-06-04,Jos Buttler,Bangladesh,Australia,37,116,2,0,1,7.3,Loss,T20,27.9,31.9,2,352
2022-06-20,Kane Williamson,Sri Lanka,India,144,58,23,15,3,7.57,Loss,Test,207.86,248.28,3,192
2022-06-14,Virat Kohli,India,Australia,104,118,4,4,3,7.53,Tie,Test,116.94,88.14,0,329
2020-10-29,Jos Buttler,Pakistan,England,175,59,43,27,4,3.95,Loss,Test,326.6,296.61,1,366
2021-01-29,David Warner,Pakistan,India,144,73,13,1,2,5.26,Tie,ODI,130.48,197.26,0,392
2023-05-01,Virat Kohli,Pakistan,India,6,86,0,1,0,4.57,Tie,ODI,-3.14,6.98,3,307
2020-12-07,Virat Kohli,England,South Africa,175,64,37,17,3,9.27,Loss,Test,253.96,273.44,4,144
2024-07-18,Kane Williamson,Bangladesh,Australia,53,29,9,1,5,7.87,Loss,ODI,131.76,182.76,4,316
2024-05-11,Steve Smith,Australia,New Zealand,81,8,14,8,0,7.94,Win,T20,76.62,1012.5,3,398
2021-03-20,Babar Azam,Pakistan,England,40,76,7,3,5,9.59,Win,Test,123.82,52.63,2,217
2022-10-25,Steve Smith,England,Sri Lanka,92,111,2,5,0,9.31,Loss,T20,46.38,82.88,0,335
2021-01-21,Joe Root,India,South Africa,169,80,10,16,4,4.86,Win,Test,222.78,211.25,1,202
2022-08-07,Steve Smith,Australia,Bangladesh,93,100,6,11,0,3.75,Win,ODI,84,93,0,238
2022-07-05,Babar Azam,India,Bangladesh,181,47,13,20,5,6.97,Win,T20,262.56,385.11,0,386
2021-08-27,Joe Root,England,New Zealand,150,34,35,16,5,9.13,Loss,Test,274.74,441.18,0,196
2022-02-28,Kane Williamson,India,Bangladesh,184,62,18,22,0,7.86,Tie,Test,178.28,296.77,4,195
2021-12-02,Jos Buttler,New Zealand,Pakistan,142,106,19,12,3,7.19,Win,ODI,190.62,133.96,3,176
2020-06-18,Kane Williamson,Australia,India,105,111,1,1,5,8.58,Win,Test,140.34,94.59,0,291
2024-04-12,Rohit Sharma,India,New Zealand,97,8,13,6,0,8.3,Loss,ODI,75.9,1212.5,3,372
2020-06-11,Kane Williamson,Pakistan,England,71,123,6,4,0,9.39,Win,T20,40.72,57.72,1,230
2020-03-07,Steve Smith,Bangladesh,Australia,6,18,0,0,2,5.84,Tie,Test,31.32,33.33,2,187
2022-01-20,Babar Azam,New Zealand,South Africa,36,89,5,5,4,8.58,Tie,ODI,105.84,40.45,4,144
2025-04-06,Babar Azam,Bangladesh,South Africa,26,64,6,3,4,3.35,Loss,T20,107.3,40.62,2,316
2022-02-07,Jos Buttler,England,India,7,120,1,1,4,6.78,Win,Test,74.94,5.83,3,277
2023-02-25,Kane Williamson,Sri Lanka,England,77,41,13,0,4,7.95,Loss,T20,128.6,187.8,2,277
2023-09-13,Babar Azam,Pakistan,Bangladesh,17,78,0,1,5,4.21,Win,Test,103.08,21.79,3,280
2025-03-16,Rohit Sharma,Bangladesh,New Zealand,164,133,23,2,0,7.14,Win,ODI,119.72,123.31,0,328
2024-02-12,Babar Azam,Australia,Bangladesh,97,124,12,5,1,3.75,Win,Test,100,78.23,2,233
2024-08-29,Rohit Sharma,Pakistan,New Zealand,103,96,6,10,0,9.47,Win,Test,74.56,107.29,4,246
2022-02-15,Virat Kohli,New Zealand,England,86,47,15,5,3,5.69,Win,T20,136.62,182.98,0,329
2022-11-10,Steve Smith,Sri Lanka,England,187,63,28,10,1,5.88,Loss,T20,187.74,296.83,4,306
2025-05-19,Kane Williamson,Bangladesh,India,119,5,18,14,2,9.88,Tie,Test,157.74,2380,0,334
2022-12-03,Kane Williamson,Australia,New Zealand,153,83,7,22,0,7.26,Loss,ODI,141.98,184.34,4,228
2024-08-17,David Warner,New Zealand,Bangladesh,135,17,12,21,5,7.91,Tie,T20,238.68,794.12,1,202
2025-01-20,Kane Williamson,India,South Africa,90,16,18,3,4,6.9,Win,ODI,156.2,562.5,4,382
2021-11-18,Kane Williamson,England,New Zealand,20,14,4,1,0,8.75,Loss,T20,3.5,142.86,4,204
2025-04-12,Kane Williamson,Pakistan,New Zealand,194,131,5,10,1,3.86,Tie,T20,149.28,148.09,0,248
2023-01-24,Babar Azam,England,Pakistan,150,143,17,25,5,8.94,Win,T20,266.12,104.9,0,298
2021-12-11,Joe Root,Australia,Pakistan,160,83,10,19,2,8.18,Loss,ODI,180.64,192.77,4,361
2023-02-27,Jos Buttler,New Zealand,Pakistan,22,24,2,2,2,6.17,Tie,T20,48.66,91.67,4,212
2024-02-02,Joe Root,England,Sri Lanka,160,144,9,1,2,5.94,Win,ODI,129.12,111.11,0,246
2021-04-07,Steve Smith,Sri Lanka,England,199,68,30,23,3,3.72,Loss,ODI,281.06,292.65,3,244
2023-06-24,Kane Williamson,South Africa,Bangladesh,20,147,4,2,1,9.34,Tie,ODI,25.32,13.61,3,241
2022-10-06,Kane Williamson,Sri Lanka,Pakistan,37,12,4,5,5,9.47,Tie,T20,122.56,308.33,1,245
2025-03-29,Jos Buttler,South Africa,Sri Lanka,154,69,33,7,2,6.77,Tie,Test,190.46,223.19,3,374
2024-12-24,David Warner,Bangladesh,New Zealand,69,74,14,3,3,3.93,Loss,ODI,123.64,93.24,4,358
2022-01-29,Rohit Sharma,Pakistan,South Africa,5,23,0,0,2,4.97,Win,Test,32.56,21.74,0,330
2022-09-26,Virat Kohli,England,New Zealand,65,70,1,0,3,7.25,Win,ODI,80,92.86,0,132
2024-07-19,Virat Kohli,South Africa,Sri Lanka,73,80,7,6,4,8.3,Tie,Test,131.9,91.25,0,390
2023-01-27,Steve Smith,Sri Lanka,South Africa,50,102,8,1,3,3.87,Win,ODI,96.26,49.02,0,123
2023-07-24,Virat Kohli,New Zealand,India,168,43,26,23,0,4.09,Win,T20,196.82,390.7,2,374
2020-07-02,Virat Kohli,Pakistan,England,91,119,6,10,0,5.2,Tie,ODI,77.1,76.47,1,223
2023-11-01,Virat Kohli,South Africa,England,17,21,4,2,4,9.65,Tie,T20,83.2,80.95,1,216
2023-01-02,Steve Smith,Sri Lanka,India,192,32,43,29,0,3.12,Loss,Test,262.76,600,1,368
2024-01-18,Babar Azam,India,Bangladesh,3,149,0,0,3,4.32,Loss,T20,52.86,2.01,1,188
2021-04-29,Virat Kohli,South Africa,Bangladesh,80,31,7,8,2,5.6,Tie,T20,106.8,258.06,1,265
2020-03-15,Babar Azam,New Zealand,India,146,95,32,9,1,3.78,Tie,Test,176.44,153.68,0,125
2020-04-26,David Warner,Pakistan,Bangladesh,135,133,29,5,3,9.68,Loss,ODI,181.14,101.5,0,286
2020-03-06,Virat Kohli,Pakistan,New Zealand,108,39,27,3,1,9.81,Win,Test,117.38,276.92,2,234
2021-02-18,Joe Root,Australia,Bangladesh,185,33,42,15,3,3.09,Loss,Test,275.32,560.61,1,170
2020-06-10,Steve Smith,Australia,Pakistan,124,94,26,19,1,8.23,Loss,T20,174.54,131.91,4,141
2024-05-29,Kane Williamson,South Africa,England,183,75,25,4,5,8.88,Tie,ODI,235.74,244,0,286
2025-04-30,Jos Buttler,Pakistan,South Africa,170,62,20,21,4,3.06,Win,Test,261.88,274.19,0,131
2025-02-05,Babar Azam,Australia,Pakistan,137,55,11,0,3,3.58,Win,Test,143.34,249.09,1,267
2022-02-08,Babar Azam,New Zealand,England,132,47,15,16,3,3.04,Loss,T20,197.92,280.85,0,385
2023-03-12,Babar Azam,Australia,Sri Lanka,102,92,2,1,4,9.2,Loss,ODI,119.6,110.87,4,395
2020-04-04,Kane Williamson,Pakistan,South Africa,142,90,30,13,5,7.36,Tie,T20,255.28,157.78,0,276
2024-08-30,Babar Azam,New Zealand,Australia,133,136,24,7,2,9.44,Tie,T20,156.62,97.79,4,390
2024-01-21,Rohit Sharma,Bangladesh,New Zealand,118,115,14,17,3,4.73,Tie,T20,188.54,102.61,2,361
2022-01-05,Steve Smith,New Zealand,Sri Lanka,116,38,1,16,4,6.94,Tie,T20,174.12,305.26,4,360
2020-11-23,Virat Kohli,New Zealand,India,155,44,19,11,3,5.51,Win,T20,197.48,352.27,4,301
2020-12-02,Steve Smith,India,Australia,140,137,22,7,3,3.36,Win,T20,188.28,102.19,3,231
2023-08-14,Rohit Sharma,Bangladesh,Pakistan,45,106,9,3,5,5.46,Win,Test,138.58,42.45,2,122
2024-10-16,Kane Williamson,Bangladesh,England,120,52,19,8,0,4.59,Loss,ODI,112.82,230.77,1,176
2021-06-11,David Warner,Pakistan,Australia,55,35,11,0,0,9.52,Tie,Test,30.46,157.14,2,272
2021-03-26,Kane Williamson,New Zealand,Australia,182,119,38,5,4,9.9,Win,T20,242.2,152.94,2,209
2021-06-03,Babar Azam,Sri Lanka,Bangladesh,60,22,11,6,2,5.35,Tie,T20,99.3,272.73,2,188
2021-11-22,David Warner,Australia,Sri Lanka,164,29,6,16,2,5.56,Tie,Test,170.88,565.52,0,139
2022-04-06,Jos Buttler,New Zealand,India,17,115,4,2,0,4.77,Tie,T20,12.96,14.78,0,260
2024-08-02,Joe Root,Pakistan,England,34,119,1,3,0,7.19,Tie,T20,13.62,28.57,3,233
2024-03-24,Joe Root,Sri Lanka,Bangladesh,199,35,9,5,5,4.4,Tie,ODI,223.7,568.57,0,369
2022-11-11,Steve Smith,Sri Lanka,India,124,97,26,11,0,4.72,Loss,T20,137.56,127.84,2,142
2025-01-22,David Warner,New Zealand,Pakistan,193,87,48,16,4,8.54,Win,Test,303.42,221.84,0,328
2022-06-24,David Warner,South Africa,England,23,70,4,1,2,3.19,Win,T20,56.12,32.86,3,311
2025-05-03,Babar Azam,India,Bangladesh,83,107,2,12,2,9.37,Tie,T20,102.76,77.57,0,244
2023-07-01,David Warner,Bangladesh,England,20,73,3,0,4,8.5,Loss,T20,79,27.4,3,150
2025-04-12,Virat Kohli,England,South Africa,83,19,18,12,2,6.73,Win,Test,140.04,436.84,2,156
2021-02-03,Jos Buttler,England,Sri Lanka,150,68,4,11,1,7.78,Loss,ODI,120.44,220.59,4,268
2021-07-15,Rohit Sharma,New Zealand,India,13,142,1,0,1,8.97,Tie,ODI,10.56,9.15,3,185
2023-06-19,Babar Azam,England,Australia,18,46,1,2,4,9.42,Loss,Test,78.16,39.13,0,223
2021-08-07,Jos Buttler,England,Sri Lanka,59,63,12,0,2,5.96,Win,Test,81.58,93.65,2,351
2023-11-14,Rohit Sharma,Sri Lanka,Australia,180,8,12,28,5,4.45,Loss,T20,289.1,2250,3,316
2021-06-24,Steve Smith,Bangladesh,New Zealand,2,69,0,0,5,4.62,Tie,T20,91.76,2.9,1,187
2021-07-28,Kane Williamson,South Africa,England,46,34,1,7,3,9.02,Win,T20,87.96,135.29,1,393
2020-03-30,Babar Azam,Pakistan,New Zealand,63,48,1,3,4,4.34,Win,T20,113.82,131.25,3,256
2021-04-10,Virat Kohli,India,Pakistan,63,41,8,3,2,3.19,Win,ODI,90.12,153.66,1,158
2024-10-19,Rohit Sharma,India,New Zealand,178,14,34,4,5,6.15,Win,T20,256.7,1271.43,4,253
2024-06-10,David Warner,Pakistan,Bangladesh,61,141,14,8,5,4.51,Loss,Test,173.48,43.26,3,182
2020-08-17,Rohit Sharma,Bangladesh,New Zealand,3,74,0,0,3,9.7,Loss,T20,42.1,4.05,2,130
2025-03-06,Rohit Sharma,Australia,Sri Lanka,114,6,1,19,4,9.87,Loss,T20,176.26,1900,4,224
2021-11-25,Steve Smith,England,Bangladesh,28,149,2,3,2,3.58,Tie,T20,59.84,18.79,0,300
2024-06-23,David Warner,Pakistan,India,198,90,45,27,0,6.5,Loss,ODI,257,220,2,268
2023-12-06,Babar Azam,South Africa,Australia,43,2,9,3,5,7.9,Loss,Test,132.7,2150,0,176
2023-12-28,Steve Smith,Sri Lanka,Bangladesh,82,6,4,3,3,5.23,Tie,T20,107.54,1366.67,0,380
2020-10-24,Jos Buttler,Pakistan,India,94,136,10,11,4,9.71,Loss,Test,160.58,69.12,3,191
2025-03-26,Steve Smith,South Africa,New Zealand,119,84,22,5,5,6.19,Loss,T20,206.12,141.67,0,393
2023-05-21,Jos Buttler,Australia,South Africa,192,26,47,29,4,9.34,Win,ODI,338.32,738.46,3,349
2020-01-04,Virat Kohli,Pakistan,South Africa,169,29,15,27,2,3.19,Tie,ODI,229.12,582.76,3,265
2021-04-06,Kane Williamson,England,Australia,168,126,1,24,0,9.75,Loss,T20,138.5,133.33,1,148
2020-01-28,Steve Smith,Sri Lanka,India,33,15,1,2,0,4.14,Loss,T20,16.22,220,2,249
2025-03-04,Steve Smith,India,Pakistan,150,84,29,17,1,8.85,Tie,Test,186.3,178.57,0,192
2020-03-17,Jos Buttler,India,Pakistan,182,37,45,25,1,4.28,Loss,ODI,267.44,491.89,0,121
2022-05-19,Rohit Sharma,India,South Africa,37,23,0,5,0,8.48,Tie,T20,16.54,160.87,1,264
2025-03-11,Rohit Sharma,Australia,Sri Lanka,88,87,1,7,4,5.72,Loss,Test,135.56,101.15,3,171
2025-05-12,Rohit Sharma,South Africa,England,37,94,1,4,2,5.04,Loss,Test,62.42,39.36,2,243
2024-10-08,Jos Buttler,Bangladesh,South Africa,158,84,16,2,2,4.17,Loss,Test,148.66,188.1,3,175
2024-05-16,Rohit Sharma,Bangladesh,England,152,116,1,12,0,4.05,Loss,Test,105.9,131.03,3,381
2023-10-07,Joe Root,Sri Lanka,South Africa,91,27,20,6,0,5.31,Tie,ODI,92.88,337.04,2,260
2021-01-02,Babar Azam,Pakistan,Sri Lanka,61,34,11,3,0,9.84,Loss,T20,41.82,179.41,1,359
2020-01-24,Kane Williamson,Pakistan,New Zealand,8,76,1,1,2,6.99,Tie,Test,35.02,10.53,2,148
2021-04-08,Rohit Sharma,England,Pakistan,191,116,16,27,4,8.09,Loss,T20,272.32,164.66,4,298
2023-10-23,Virat Kohli,South Africa,Bangladesh,3,120,0,0,1,7.56,Tie,T20,6.38,2.5,2,279
2025-01-05,Rohit Sharma,South Africa,Sri Lanka,134,105,16,13,3,5.51,Loss,Test,186.98,127.62,4,156
2024-09-18,Virat Kohli,Bangladesh,South Africa,74,68,1,10,0,7.03,Loss,T20,54.94,108.82,3,279
2020-01-20,Steve Smith,Sri Lanka,England,7,62,0,1,3,4.67,Tie,ODI,57.16,11.29,0,347
2022-04-17,Kane Williamson,Australia,South Africa,36,126,8,1,4,5.98,Tie,ODI,105.04,28.57,0,246
2021-03-21,Joe Root,India,New Zealand,153,104,33,14,0,7.54,Win,ODI,169.42,147.12,0,365
2021-06-01,David Warner,India,Sri Lanka,64,69,13,4,4,4.03,Loss,T20,141.94,92.75,0,186
2021-05-06,Virat Kohli,New Zealand,India,200,113,7,27,3,6.92,Win,ODI,241.16,176.99,2,301
2020-10-01,Rohit Sharma,Australia,New Zealand,117,143,27,17,2,8.64,Tie,ODI,186.22,81.82,2,296
2020-10-24,Rohit Sharma,South Africa,Pakistan,18,35,1,2,0,6.19,Tie,ODI,4.62,51.43,1,184
2021-03-20,Virat Kohli,South Africa,Sri Lanka,111,119,3,12,3,7.21,Win,Test,143.08,93.28,1,141
2020-02-25,Babar Azam,New Zealand,South Africa,44,28,9,3,2,3.05,Loss,T20,82.9,157.14,1,387
2022-08-22,Jos Buttler,England,South Africa,147,89,16,9,4,7.61,Loss,ODI,197.28,165.17,2,189
2020-09-19,Virat Kohli,New Zealand,England,2,104,0,0,4,4.09,Loss,ODI,72.82,1.92,2,308
2020-03-15,David Warner,England,India,83,13,13,7,3,7.1,Loss,T20,134.3,638.46,3,214
2021-04-07,Jos Buttler,New Zealand,South Africa,164,7,16,21,0,5.88,Loss,ODI,165.24,2342.86,1,324
2021-08-24,David Warner,Pakistan,Australia,140,82,4,14,1,4.64,Loss,Test,130.72,170.73,3,326
2022-03-11,Jos Buttler,South Africa,England,109,43,10,8,4,6.4,Tie,Test,165.7,253.49,1,238
2022-08-26,David Warner,South Africa,England,28,115,6,4,1,5.84,Tie,T20,46.32,24.35,4,357
2025-02-23,Rohit Sharma,Australia,Bangladesh,178,80,3,15,2,5.12,Win,T20,169.76,222.5,0,215
2022-12-30,Kane Williamson,England,Pakistan,29,55,3,1,5,9.77,Loss,T20,103.96,52.73,1,234
2021-06-28,Jos Buttler,Pakistan,Bangladesh,62,121,11,0,3,5.59,Loss,Test,101.82,51.24,3,128
2021-07-14,Joe Root,Bangladesh,England,23,137,4,3,0,9.99,Loss,ODI,8.52,16.79,1,191
2023-03-31,Babar Azam,Pakistan,Bangladesh,176,126,0,28,1,7.21,Win,Test,177.58,139.68,3,368
2021-03-17,Joe Root,Bangladesh,Australia,73,78,2,8,4,5.85,Win,ODI,132.8,93.59,2,349
2020-11-29,Rohit Sharma,Sri Lanka,Bangladesh,105,145,11,3,1,8.5,Tie,T20,86.5,72.41,4,181
2024-09-26,Kane Williamson,Pakistan,Sri Lanka,60,4,15,5,1,9.03,Loss,Test,76.94,1500,2,311
2020-02-18,Jos Buttler,Pakistan,India,55,70,3,6,3,6.59,Tie,ODI,98.32,78.57,2,360
2023-10-01,Rohit Sharma,Pakistan,South Africa,145,25,10,16,5,5.77,Tie,T20,228.96,580,2,292
2021-06-28,Joe Root,South Africa,India,48,82,12,2,0,9.24,Tie,Test,35.52,58.54,3,309
2025-04-18,Steve Smith,New Zealand,Bangladesh,27,51,0,1,5,5.64,Loss,T20,105.22,52.94,2,236
2023-08-28,Rohit Sharma,South Africa,Sri Lanka,98,34,19,14,4,3.1,Loss,T20,202.8,288.24,3,146
2022-04-17,Joe Root,New Zealand,Bangladesh,28,56,4,4,4,9.13,Tie,Test,95.74,50,2,167
2025-03-23,Virat Kohli,Australia,New Zealand,49,99,10,8,2,7.46,Tie,ODI,93.58,49.49,0,398
2020-11-12,Steve Smith,Sri Lanka,England,197,43,29,14,4,6.78,Tie,T20,264.94,458.14,0,141
2021-10-23,Rohit Sharma,Pakistan,Bangladesh,31,134,6,1,2,5.37,Win,T20,59.76,23.13,0,296
2023-02-10,David Warner,India,South Africa,150,90,29,1,2,8.83,Loss,ODI,158.34,166.67,4,369
2023-09-14,Joe Root,India,Bangladesh,72,141,2,9,4,3.41,Loss,T20,140.18,51.06,1,367
2023-05-29,Rohit Sharma,South Africa,Australia,71,13,1,0,3,4.37,Win,ODI,88.76,546.15,1,200
2025-02-21,Babar Azam,Bangladesh,South Africa,19,44,0,1,5,6.23,Loss,Test,100.04,43.18,3,242
2020-11-01,Rohit Sharma,England,Bangladesh,119,121,15,14,4,6.7,Win,ODI,198.1,98.35,2,191
2020-04-11,Virat Kohli,Sri Lanka,India,126,27,28,7,4,7.17,Loss,ODI,205.66,466.67,1,317
2020-04-08,Steve Smith,Bangladesh,New Zealand,96,67,3,12,2,6.67,Loss,T20,116.66,143.28,4,396
2022-05-30,Babar Azam,Sri Lanka,England,167,1,5,19,2,6.39,Loss,T20,177.72,16700,1,293
2025-05-03,Rohit Sharma,Australia,India,100,71,16,9,0,8.7,Loss,Test,91.6,140.85,2,122
2024-05-05,Babar Azam,Bangladesh,England,147,98,23,1,0,5.17,Loss,T20,112.16,150,3,198
2024-12-08,Kane Williamson,Pakistan,Sri Lanka,129,4,21,8,5,5.35,Win,T20,219.8,3225,2,299
